iter	Passed	Remaining
791	5151	1352
792	5157	1346
793	5164	1339
794	5170	1333
795	5176	1326
796	5183	1320
797	5189	1313
798	5196	1307
799	5202	1300
800	5210	1294
801	5217	1288
802	5222	1281
803	5229	1274
804	5234	1268
805	5241	1261
806	5247	1254
807	5254	1248
808	5261	1242
809	5268	1235
810	5275	1229
811	5281	1222
812	5289	1216
813	5296	1210
814	5302	1203
815	5308	1196
816	5314	1190
817	5321	1183
818	5328	1177
819	5334	1171
820	5341	1164
821	5348	1158
822	5355	1151
823	5361	1145
824	5367	1138
825	5374	1132
826	5380	1125
827	5387	1119
828	5393	1112
829	5400	1106
830	5406	1099
831	5414	1093
832	5420	1086
833	5427	1080
834	5434	1073
835	5438	1066
836	5446	1060
837	5452	1054
838	5459	1047
839	5465	1041
840	5472	1034
841	5478	1028
842	5486	1021
843	5493	1015
844	5500	1008
845	5506	1002
846	5512	995
847	5519	989
848	5525	982
849	5532	976
850	5539	969
851	5545	963
852	5552	956
853	5559	950
854	5566	944
855	5572	937
856	5579	930
857	5586	924
858	5593	918
859	5599	911
860	5606	905
861	5613	898
862	5620	892
863	5627	885
864	5633	879
865	5640	872
866	5646	866
867	5653	859
868	5660	853
869	5667	846
870	5674	840
871	5680	833
872	5687	827
873	5694	820
874	5699	814
875	5706	807
876	5713	801
877	5718	794
878	5725	788
879	5731	781
880	5737	774
881	5744	768
882	5751	762
883	5758	755
884	5764	749
885	5771	742
886	5777	736
887	5784	729
888	5791	723
889	5797	716
890	5804	710
891	5810	703
892	5816	696
893	5822	690
894	5829	683
895	5835	677
896	5842	670
897	5849	664
898	5855	657
899	5862	651
900	5869	644
901	5875	638
902	5882	631
903	5888	625
904	5894	618
905	5901	612
906	5907	605
907	5914	599
908	5921	592
909	5928	586
910	5934	579
911	5941	573
912	5948	566
913	5954	560
914	5961	553
915	5968	547
916	5975	540
917	5981	534
918	5988	527
919	5995	521
920	6001	514
921	6008	508
922	6014	501
923	6021	495
924	6027	488
925	6035	482
926	6041	475
927	6048	469
928	6055	462
929	6061	456
930	6068	449
931	6075	443
932	6082	436
933	6090	430
934	6096	423
935	6102	417
936	6108	410
937	6114	404
938	6121	397
939	6128	391
940	6134	384
941	6141	378
942	6148	371
943	6154	365
944	6161	358
945	6167	352
946	6173	345
947	6180	339
948	6187	332
949	6194	326
950	6201	319
951	6207	312
952	6214	306
953	6220	299
954	6227	293
955	6233	286
956	6240	280
957	6246	273
958	6253	267
959	6260	260
960	6266	254
961	6272	247
962	6279	241
963	6285	234
964	6292	228
965	6298	221
966	6304	215
967	6311	208
968	6318	202
969	6324	195
970	6331	189
971	6337	182
972	6343	176
973	6349	169
974	6356	162
975	6362	156
976	6369	149
977	6375	143
978	6381	136
979	6388	130
980	6395	123
981	6399	117
982	6406	110
983	6412	104
984	6420	97
985	6426	91
986	6434	84
987	6440	78
988	6446	71
989	6452	65
990	6459	58
991	6466	52
992	6473	45
993	6479	39
994	6486	32
995	6494	26
996	6502	19
997	6509	13
998	6517	6
999	6525	0
