iter	Logloss
0	0.6911529478
1	0.6887975766
2	0.686726859
3	0.6844508216
4	0.6822826667
5	0.6801403631
6	0.6779368295
7	0.6756597867
8	0.6734748572
9	0.6714692602
10	0.6695500742
11	0.6676368072
12	0.6656481616
13	0.6636838756
14	0.6615845675
15	0.659750143
16	0.6579101999
17	0.655969562
18	0.6541126318
19	0.6521608468
20	0.6504318085
21	0.6484862893
22	0.6468598009
23	0.644957421
24	0.6431479259
25	0.6412983635
26	0.6395383978
27	0.6378025584
28	0.636031232
29	0.6344294973
30	0.6327430641
31	0.6311580716
32	0.6296367988
33	0.6279385281
34	0.6265313626
35	0.6252349343
36	0.6235892717
37	0.6222178222
38	0.6206016873
39	0.6190944398
40	0.6175978121
41	0.616294431
42	0.6147997866
43	0.6133487727
44	0.6119134962
45	0.6105860893
46	0.6090979853
47	0.6077754556
48	0.6065636603
49	0.6053331583
50	0.6040526124
51	0.6026713291
52	0.6013518878
53	0.6001302388
54	0.5989297437
55	0.5976744173
56	0.5963626015
57	0.5951287519
58	0.5938960909
59	0.5927604409
60	0.5915819883
61	0.5904731932
62	0.5894147393
63	0.5881866784
64	0.5872658222
65	0.5861143279
66	0.5849254124
67	0.5838314384
68	0.582726245
69	0.5818660904
70	0.5807229735
71	0.5797541479
72	0.5786742743
73	0.5777842037
74	0.5768151015
75	0.5759454142
76	0.575055765
77	0.5740450538
78	0.5731144794
79	0.5723063244
80	0.5713472041
81	0.5705081881
82	0.5696760217
83	0.5688389062
84	0.567942636
85	0.5670346953
86	0.5662929708
87	0.5653184654
88	0.5644288626
89	0.5636427385
90	0.5628575608
91	0.5619751539
92	0.5612363904
93	0.5604712577
94	0.5596860888
95	0.5589778149
96	0.5582991141
97	0.557487755
98	0.5567378862
99	0.5560404541
100	0.5552150735
101	0.5543922618
102	0.5535628134
103	0.5527339124
104	0.5520782418
105	0.5512766065
106	0.5507132548
107	0.5499832076
108	0.5492969584
109	0.5486515117
110	0.5479089462
111	0.5472319203
112	0.546577791
113	0.5458781409
114	0.545229413
115	0.5445598302
116	0.543855857
117	0.5432183272
118	0.5427110276
119	0.5420095513
120	0.5413533535
121	0.5408789305
122	0.5401654449
123	0.5395460295
124	0.5389460709
125	0.5384966471
126	0.5378903975
127	0.5373524881
128	0.5367017709
129	0.5362247348
130	0.5356418771
131	0.5350349261
132	0.5345089173
133	0.5339879033
134	0.5335271098
135	0.5329769687
136	0.5324800343
137	0.5320276136
138	0.5315614738
139	0.5310184886
140	0.5305494273
141	0.5300599744
142	0.5294881488
143	0.5289409456
144	0.5284471518
145	0.5279803223
146	0.5275147886
147	0.5270673725
148	0.5265126081
149	0.5261097043
150	0.5256068076
151	0.5251489068
152	0.5247627411
153	0.5243291215
154	0.523857788
155	0.5235133679
156	0.5231571524
157	0.5227443842
158	0.5223236272
159	0.5218450743
160	0.521380372
161	0.5210596726
162	0.520601453
163	0.5201952368
164	0.5198619781
165	0.5193865843
166	0.5189791306
167	0.5185497569
168	0.5182470428
169	0.5178400479
170	0.5174247591
171	0.5170159349
